"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"2","Abies alba","boreal","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3","Abies amabilis","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"4","Abies balsamea","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"5","Abies concolor","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"6","Abies fargesii","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"8","Abies lasiocarpa","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"9","Abies magnifica","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"10","Abies nephrolepis","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"11","Abies nordmanniana","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"12","Abies procera","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"13","Abies sachalinensis","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"14","Abies spectabilis","tropical","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"15","Abuta grandifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"18","Acacia albida","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"19","Acacia aneura","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"21","Acacia ataxacantha","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"22","Acacia auriculiformis","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"23","Acacia bonariensis","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"24","Acacia borleae","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"25","Acacia brevispica","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"26","Acacia burkei","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"27","Acacia caffra","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"29","Acacia colletioides","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"30","Acacia collinsii","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"31","Acacia coriacea","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"34","Acacia davyi","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"35","Acacia dealbata","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"36","Acacia dimidiata","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"37","Acacia doratoxylon","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"38","Acacia erioloba","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"39","Acacia erubescens","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"40","Acacia exuvialis","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"41","Acacia falcata","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"42","Acacia farnesiana","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"43","Acacia fleckii","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"44","Acacia floribunda","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"45","Acacia gaumeri","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"46","Acacia gerrardii","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"47","Acacia grandicornuta","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"49","Acacia haematoxylon","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"50","Acacia havilandiorum","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"51","Acacia hebeclada","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"52","Acacia holosericea","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"55","Acacia karroo","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"56","Acacia leucophloea","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"57","Acacia longifolia","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"58","Acacia luederitzii","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"60","Acacia mangium","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"62","Acacia melanoxylon","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"63","Acacia mellifera","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"64","Acacia mimula","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"65","Acacia myrtifolia","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"66","Acacia nigrescens","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"67","Acacia nilotica","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"68","Acacia olgana","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"69","Acacia oswaldii","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"70","Acacia pennata","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"71","Acacia riparia","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"72","Acacia robusta","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"75","Acacia senegal","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"78","Acacia suaveolens","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"79","Acacia suma","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"81","Acacia tortilis","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"83","Acacia wilhelmiana","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"84","Acalypha caturus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"85","Acalypha cuneata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"86","Acalypha skutchii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"88","Acanthus ilicifolius","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"89","Acer barbinerve","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"90","Acer buergerianum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"91","Acer campbellii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"92","Acer campestre","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"93","Acer caudatum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"96","Acer davidii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"99","Acer ginnala","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"100","Acer grosseri","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"101","Acer lucidum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"102","Acer macrophyllum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"103","Acer mandshuricum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"104","Acer mono","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"105","Acer monspessulanum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"106","Acer negundo","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"107","Acer oblongum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"109","Acer opalus","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"110","Acer palmatum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"111","Acer pensylvanicum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"112","Acer pictum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"113","Acer platanoides","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"114","Acer pseudoplatanus","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"115","Acer pseudosieboldianum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"116","Acer rubrum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"117","Acer rufinerve","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"118","Acer saccharinum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"119","Acer saccharum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"120","Acer sinense","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"122","Acer tataricum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"123","Acer tegmentosum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"124","Acer truncatum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"125","Acer tschonoskii","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"126","Acer ukurunduense","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"127","Acidoton nicaraguensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"129","Acosmium dasycarpum","tropical","AM",1,"angiosperm","evergreen","Carneiro MAC, Siqueria JO, Moreira FMS, de Carvalho D, Botelho SA & Junior OJS. 1998. Occurrence of the arbuscular mycorrhiza in native woody species in southeastern Brazil. CERNE. 4(1): 129-144."
"130","Acronychia pedunculata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"134","Actinodaphne henryi","tropical","AM",0,"angiosperm","evergreen","10.1007/s005720100117"
"135","Adansonia digitata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"136","Adelia triloba","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"138","Adenanthera pavonina","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"140","Adenostoma fasciculatum","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
